OBJECT_NAME,OBJECT_ID
LEASAT 5,1990-002B
STTW-4,1990-011A
RADUGA 25,1990-016A
INTELSAT 603,1990-021A
ASIASAT 1,1990-030A
NEWSAT-1 (PALAPA B2R),1990-034A
INSAT 1D,1990-051A
GORIZONT 20,1990-054A
COSMOS 2085,1990-061A
DFS 2,1990-063B
THOR 1 (MARCOPOLO 2),1990-074A
SKYNET 4C,1990-079A
EUTE 2-F1,1990-079B
GALAXY 6,1990-091B
GORIZONT 21,1990-094A
SATCOM C1,1990-100A
GSTAR 4,1990-100B
GORIZONT 22,1990-102A
RADUGA 26,1990-112A
RADUGA 1-2,1990-116A
ITALSAT 1,1991-003A
COSMOS 2133,1991-010A
RADUGA 27,1991-014A
ANIK E2,1991-026A
SPACENET 4 (ASC 2),1991-028A
AURORA 2,1991-037A
TDRS 5,1991-054B
INTELSAT 605,1991-055A
COSMOS 2155,1991-064A
ANIK E1,1991-067A
INTELSAT 601,1991-075A
COSMOS 2172,1991-079A
EUTE 2-F3,1991-083A
USA 75,1991-080B
RADUGA 28,1991-087A
USA 78,1992-006A
SUPERBIRD B1,1992-010A
GALAXY 5,1992-013A
GORIZONT 25,1992-017A
TELECOM 2B,1992-021A
PALAPA B4,1992-027A
INSAT 2A,1992-041A
EUTE 2-F4,1992-041B
GORIZONT 26,1992-043A
OPTUS B1 (AUSSAT B1),1992-054A
SATCOM C4,1992-057A
COSMOS 2209,1992-059A
HISPASAT 1A,1992-060A
HELLAS-SAT 1 (DFS 3),1992-066A
GALAXY 7,1992-072A
EKRAN 20,1992-074A
GORIZONT 27,1992-082A
SUPERBIRD A1,1992-084A
COSMOS 2224,1992-088A
TDRS 6,1993-003B
RADUGA 29,1993-013A
UFO 1 (USA 98),1993-015A
HGS 4 (GALAXY 4),1993-039A
USA 93,1993-046A
HISPASAT 1B,1993-048A
INSAT 2B,1993-048B
UFO 2 (USA 95),1993-056A
ACTS,1993-058B
RADUGA 30,1993-062A
INTELSAT 701,1993-066A
GORIZONT 28,1993-069A
GORIZONT 29,1993-072A
SOLIDARIDAD 1,1993-073A
TELSTAR 401,1993-077A
THAICOM 1,1993-078B
GALS 1,1994-002A
RADUGA 1-3,1994-008A
USA 99,1994-009A
RADUGA 31,1994-012A
GALAXY 1R,1994-013A
GORIZONT 30,1994-030A
UFO 3 (USA 104),1994-035A
COSMOS 2282,1994-038A
INTELSAT 2 (PAS 2),1994-040A
BS-3N,1994-040B
APSTAR 1,1994-043A
BRAZILSAT B1,1994-049A
TURKSAT 1B,1994-049B
COSMOS 2291,1994-060A
NSS 703 (INTELSAT 703),1994-064A
THAICOM 2,1994-065B
EXPRESS 1,1994-067A
ELEKTRO (GOMS),1994-069A
DFH-3 1,1994-080A
LUCH,1994-082A
USA 107,1994-084A
RADUGA 32,1994-087A
INTELSAT 704,1995-001A
UFO 4 (USA 108),1995-003A
HIMAWARI 5 (GMS 5),1995-011B
BRAZILSAT B2,1995-016A
HOT BIRD 1,1995-016B
AMSC 1,1995-019A
INTELSAT 706,1995-023A
DIRECTV 3 (DBS/NIMIQ 3),1995-029A
TDRS 7,1995-035B
USA 113,1995-038A
KOREASAT 1,1995-041A
JCSAT 3,1995-043A
NSTAR A,1995-044A
COSMOS 2319,1995-045A
TELSTAR 4 (TELSTAR 402R),1995-049A
LUCH 1,1995-054A
USA 115,1995-060A
GALS 2,1995-063A
AMOS 5I (ASIASAT 2),1995-064A
INSAT 2C,1995-067B
GALAXY 3R,1995-069A
INTELSAT 3R (PAS 3R),1996-002A
AFRICASAT 1 (MEASAT 1),1996-002B
ABS 1A (KOREASAT 2),1996-003A
GORIZONT 31,1996-005A
PAKSAT 1 (ANATOLIA 1),1996-006A
NSTAR B,1996-007A
INMARSAT 3-F1,1996-020A
ASTRA 1F,1996-021A
PALAPA C2,1996-030A
GALAXY 9,1996-033A
GORIZONT 32,1996-034A
INTELSAT 709,1996-035A
APSTAR 1A,1996-039A
ARABSAT 2A,1996-040A
TURKSAT 1C,1996-040B
UFO 7 (USA 127),1996-042A
ITALSAT 2,1996-044A
INMARSAT 3-F2,1996-053A
ECHOSTAR 2,1996-055A
AMC-1 (GE-1),1996-054A
