OBJECT_NAME,OBJECT_ID
"NAVSTAR 56 (USA 180)",2004-045A
COSMOS 2413 (GLONASS),2004-053A
COSMOS 2411 (GLONASS),2004-053B
COSMOS 2412 (GLONASS),2004-053C
"NAVSTAR 57 (USA 183)",2005-038A
COSMOS 2419 (GLONASS),2005-050A
COSMOS 2418 (GLONASS),2005-050B
COSMOS 2417 (GLONASS),2005-050C
"NAVSTAR 58 (USA 190)",2006-042A
"NAVSTAR 59 (USA 192)",2006-052A
COSMOS 2425 (GLONASS),2006-062A
COSMOS 2426 (GLONASS),2006-062B
COSMOS 2424 (GLONASS),2006-062C
"NAVSTAR 60 (USA 196)",2007-047A
COSMOS 2433 (GLONASS),2007-052A
COSMOS 2432 (GLONASS),2007-052B
COSMOS 2431 (GLONASS),2007-052C
"NAVSTAR 61 (USA 199)",2007-062A
COSMOS 2434 (GLONASS),2007-065A
COSMOS 2435 (GLONASS),2007-065B
COSMOS 2436 (GLONASS),2007-065C
"NAVSTAR 62 (USA 201)",2008-012A
COSMOS 2442 (GLONASS),2008-046A
COSMOS 2443 (GLONASS),2008-046B
COSMOS 2444 (GLONASS),2008-046C
COSMOS 2447 (GLONASS),2008-067A
COSMOS 2449 (GLONASS),2008-067B
COSMOS 2448 (GLONASS),2008-067C
"NAVSTAR 63 (USA 203)",2009-014A
"NAVSTAR 64 (USA 206)",2009-043A
COSMOS 2456 (GLONASS),2009-070A
COSMOS 2457 (GLONASS),2009-070B
COSMOS 2458 (GLONASS),2009-070C
COSMOS 2459 (GLONASS),2010-007A
COSMOS 2461 (GLONASS),2010-007B
COSMOS 2460 (GLONASS),2010-007C
"NAVSTAR 65 (USA 213)",2010-022A
COSMOS 2466 (GLONASS),2010-041A
COSMOS 2465 (GLONASS),2010-041B
COSMOS 2464 (GLONASS),2010-041C
COSMOS 2471 (GLONASS),2011-009A
"NAVSTAR 66 (USA 232)",2011-036A
COSMOS 2474 (GLONASS),2011-055A
COSMOS 2476 (GLONASS),2011-064A
COSMOS 2477 (GLONASS),2011-064B
COSMOS 2475 (GLONASS),2011-064C
COSMOS 2478 (GLONASS),2011-071A
BEIDOU 12,2012-018A
BEIDOU 13,2012-018B
BEIDOU 14,2012-050A
BEIDOU 15,2012-050B
"NAVSTAR 67 (USA 239)",2012-053A
COSMOS 2485 (GLONASS),2013-019A
"NAVSTAR 68 (USA 242)",2013-023A
"NAVSTAR 69 (USA 248)",2014-008A
COSMOS 2492 (GLONASS),2014-012A
"NAVSTAR 70 (USA 251)",2014-026A
COSMOS 2500 (GLONASS),2014-032A
"NAVSTAR 71 (USA 256)",2014-045A
GALILEO 5 (261),2014-050A
GALILEO 6 (262),2014-050B
"NAVSTAR 72 (USA 258)",2014-068A
COSMOS 2501 (GLONASS),2014-075A
"NAVSTAR 73 (USA 260)",2015-013A
"NAVSTAR 74 (USA 262)",2015-033A
BD-18,2015-037A
BD-19,2015-037B
"NAVSTAR 75 (USA 265)",2015-062A
BD-21,2016-006A
"NAVSTAR 76 (USA 266)",2016-007A
